Wall time,Step,Value
1702631006.2817245,215,0.0
1702631010.10166,840,0.0
1702631012.0740871,1150,0.0
1702631019.5925212,2375,0.0
1702631021.474977,2685,0.0
1702631022.7747817,2900,0.0
1702631022.9852872,2935,0.0
1702631024.8152323,3240,0.0
1702631029.6975255,4045,0.0
1702631035.9648168,5075,0.0
1702631045.5267782,6670,0.0
1702631047.1169355,6930,0.0
1702631048.6958408,7185,0.0
1702631057.7361734,8675,0.0
1702631057.8254492,8690,0.0
1702631062.0332952,9390,0.0
1702631074.9100237,11540,0.0
1702631077.3740623,11950,0.0
1702631080.240426,12430,0.0
1702631080.2705953,12435,0.0
1702631086.2717588,13430,0.0
1702631102.825908,16155,0.0
1702631103.325185,16235,0.0
1702631105.1776552,16530,0.0
1702631114.9391534,18095,0.0
1702631114.9998891,18105,0.0
1702631137.1730728,21590,0.0
1702631139.7807143,22005,0.0
1702631142.5387073,22465,0.0
1702631143.0520372,22550,0.0
1702631156.7898188,24860,0.0
1702631161.2933462,25675,0.0
1702631167.090098,26730,0.0
1702631178.0094883,28620,0.0
1702631183.1867304,29540,0.0
1702631185.6709094,29955,0.0
1702631192.0088897,31005,0.0
1702631207.0176518,33500,0.0
1702631207.3837729,33560,0.0
1702631211.7381647,34275,0.0
1702631215.1447918,34835,0.0
1702631220.8559916,35780,0.0
1702631230.1340497,37305,0.0
1702631230.2227306,37320,0.0
1702631240.3707218,38995,0.0
1702631241.414908,39170,0.0
1702631248.4616573,40335,0.0
1702631251.8705027,40905,0.0
1702631253.1091049,41110,0.0
1702631261.46786,42495,0.0
1702631261.7675076,42545,0.0
1702631272.9825823,44395,0.0
1702631274.70633,44680,0.0
1702631284.5290127,46305,0.0
1702631290.8290784,47345,0.0
1702631293.4394398,47775,0.0
1702631297.8062482,48495,0.0
1702631319.126629,52000,0.0
1702631322.1447215,52400,0.0
1702631323.7576318,52615,0.0
1702631337.2875547,54530,0.0
1702631339.5710077,54835,0.0
1702631341.6069992,55105,0.0
1702631358.3111298,57665,0.0
1702631359.340991,57835,0.0
1702631373.2323594,59850,0.0
1702631373.435351,59875,0.0
1702631380.0519335,60825,0.0
1702631384.950586,61455,0.0
1702631403.397348,64390,0.0
1702631409.373676,65175,0.0
1702631410.400802,65310,0.0
1702631430.7639163,68105,0.0
1702631451.218226,71475,0.0
1702631462.7424977,73345,0.0
1702631466.621589,73900,0.0
1702631469.4790304,74370,0.0
1702631487.622461,77370,0.0
1702631497.9621496,78825,0.0
1702631511.0991828,80585,0.0
1702631535.7853117,84290,0.0
1702631542.024901,85335,0.0
1702631542.9547024,85490,0.0
1702631550.9745111,86590,0.0
1702631551.782779,86700,0.0
1702631559.3343472,87720,0.0
1702631559.849949,87790,0.0
1702631588.5348475,92260,0.0
1702631625.5196288,97660,0.0
1702631629.6222072,98205,0.0
1702631633.0136688,98660,0.0
1702631641.9815252,99980,0.0
1702631643.709621,100270,0.0
1702631643.9771957,100315,0.0
1702631649.388604,101225,0.0
1702631651.767037,101620,0.0
1702631655.3111358,102205,0.0
1702631658.2770777,102700,0.0
1702631659.4541574,102895,0.0
1702631665.8205009,103900,0.0
1702631665.9317327,103915,0.0
1702631668.664069,104280,0.0
1702631676.4954128,105405,0.0
1702631678.4135983,105725,0.0
1702631681.071939,106165,0.0
1702631684.3770058,106600,0.0
1702631704.2393746,109245,0.0
1702631718.0617082,111230,0.0
1702631721.2185571,111655,0.0
1702631722.2215993,111795,0.0
1702631749.581316,115695,1.0
1702631749.9502907,115745,1.0
1702631754.9766653,116435,1.0
1702631757.233866,116810,1.0
1702631759.2245128,117140,1.0
1702631763.0826485,117705,1.0
1702631767.7747717,118355,1.0
1702631768.7160466,118510,1.0
1702631782.2860644,120740,1.0
1702631786.3910244,121415,1.0
1702631786.4524791,121425,1.0
1702631787.5947928,121615,1.0
1702631796.6189756,123110,1.0
1702631799.8111746,123640,1.0
1702631807.168297,124675,1.0
1702631819.3438659,126270,1.0
1702631824.528145,126960,1.0
1702631838.8084385,129065,1.0
1702631839.8635783,129240,1.0
1702631842.1807501,129610,1.0
1702631853.7381775,131520,1.0
1702631869.272369,133990,1.0
1702631869.3024118,133995,1.0
1702631880.420452,135775,1.0
1702631891.2523997,137530,1.0
1702631894.170774,138020,1.0
1702631895.2006216,138195,1.0
1702631900.8050566,139130,1.0
1702631903.5374305,139585,1.0
1702631919.2083406,142195,1.0
1702631922.3780947,142720,1.0
1702631935.1878514,144855,1.0
1702631936.005817,144985,1.0
1702631937.9830687,145315,1.0
1702631942.1508934,146010,1.0
1702631943.9923353,146320,1.0
1702631950.1613784,147360,1.0
1702631954.4391687,148060,1.0
1702631961.1209366,149150,1.0
1702631966.5601187,150030,1.0
1702631967.3503253,150160,1.0
1702631971.644562,150875,1.0
1702631976.3182356,151640,1.0
1702631980.6435132,152355,1.0
1702631984.9591544,153065,1.0
1702631987.7953703,153535,1.0
1702631988.2116945,153605,1.0
1702632009.82168,157035,1.0
1702632010.9275122,157220,1.0
1702632024.9364445,159405,1.0
1702632026.6907966,159685,1.0
1702632035.1665344,161040,1.0
1702632042.0481372,162180,1.0
1702632045.2354736,162715,1.0
1702632048.6781752,163290,1.0
1702632051.7836614,163815,1.0
1702632055.7369115,164475,1.0
1702632055.978126,164515,1.0
1702632059.9315434,165175,1.0
1702632064.4326992,165910,1.0
1702632070.9395752,166880,1.0
1702632071.879095,167020,1.0
1702632082.698928,168690,1.0
1702632083.0941927,168750,1.0
1702632084.2656472,168930,1.0
1702632086.0205858,169200,1.0
1702632087.2476847,169385,1.0
1702632088.44338,169570,1.0
1702632092.3760552,170185,1.0
1702632103.0645947,171815,1.0
1702632108.282987,172630,1.0
1702632110.6861424,173000,1.0
1702632134.9942021,176670,1.0
1702632135.6930091,176775,1.0
1702632139.7741537,177420,1.0
1702632149.0552464,178860,1.0
1702632154.666876,179770,1.0
1702632157.180805,180190,1.0
1702632175.4483292,183150,1.0
1702632176.3500113,183300,1.0
1702632179.6448815,183840,1.0
1702632182.2943401,184255,1.0
1702632193.1305876,186015,1.0
1702632201.9772868,187450,1.0
1702632210.3264341,188825,1.0
1702632213.7523558,189385,1.0
1702632231.6446643,192280,1.0
1702632240.2160213,193605,1.0
1702632244.0452304,194205,1.0
1702632248.453422,194910,1.0
1702632258.0264297,196485,1.0
1702632270.349138,198515,1.0
1702632276.6327386,199550,1.0
1702632280.0234113,200105,1.0
1702632288.3947048,201485,1.0
1702632294.6566606,202505,1.0
1702632299.7719197,203340,1.0
1702632301.364451,203605,1.0
1702632303.5978196,203970,1.0
1702632311.1319063,205205,1.0
1702632318.1764793,206360,1.0
1702632326.3562956,207700,1.0
1702632344.3306975,210675,1.0
1702632353.8493352,212255,2.0
1702632354.3864355,212345,2.0
1702632360.6924658,213395,2.0
1702632385.9758875,217595,2.0
1702632389.6037073,218200,2.0
1702632391.7629936,218560,2.0
1702632392.587138,218695,2.0
