Wall time,Step,Value
1702735065.4262567,215,0.0
1702735067.9470272,840,0.0
1702735069.197247,1150,0.0
1702735074.0692534,2375,0.0
1702735075.3124616,2685,0.0
1702735076.1670887,2900,0.0
1702735076.3073044,2935,0.0
1702735077.5144274,3240,0.0
1702735080.6557536,4045,0.0
1702735084.7686906,5075,0.0
1702735091.0733287,6670,0.0
1702735092.1094797,6930,0.0
1702735093.1254895,7185,0.0
1702735099.1021504,8675,0.0
1702735099.1637099,8690,0.0
1702735101.9968915,9390,0.0
1702735110.7240903,11540,0.0
1702735112.3664393,11950,0.0
1702735114.3078034,12430,0.0
1702735114.327806,12435,0.0
1702735118.305076,13430,0.0
1702735129.1601336,16155,0.0
1702735129.4824448,16235,0.0
1702735130.6656113,16530,0.0
1702735136.886395,18095,0.0
1702735136.925108,18105,0.0
1702735150.9782164,21590,0.0
1702735152.6621294,22005,0.0
1702735154.5339184,22465,0.0
1702735154.8802674,22550,0.0
1702735164.287071,24860,0.0
1702735167.6097445,25675,0.0
1702735171.9228926,26730,0.0
1702735179.7465231,28620,0.0
1702735183.5190341,29540,0.0
1702735185.244242,29955,0.0
1702735189.6058438,31005,0.0
1702735199.8212857,33500,0.0
1702735200.0720909,33560,0.0
1702735203.0179098,34275,0.0
1702735205.3111765,34835,0.0
1702735209.1924412,35780,0.0
1702735215.4116042,37305,0.0
1702735215.4714746,37320,0.0
1702735222.245838,38995,0.0
1702735222.9565206,39170,0.0
1702735227.6771572,40335,0.0
1702735230.0093155,40905,0.0
1702735230.828702,41110,0.0
1702735236.4220138,42495,0.0
1702735236.6229482,42545,0.0
1702735243.9938955,44395,0.0
1702735245.1650066,44680,0.0
1702735251.7857578,46305,0.0
1702735255.99762,47345,0.0
1702735257.7347057,47775,0.0
1702735260.6650822,48495,0.0
1702735274.8828228,52000,0.0
1702735276.5498335,52400,0.0
1702735277.4344857,52615,0.0
1702735285.3130517,54530,0.0
1702735286.5666876,54835,0.0
1702735287.661625,55105,0.0
1702735298.1253023,57665,0.0
1702735298.8014073,57835,0.0
1702735306.930679,59850,0.0
1702735307.0308025,59875,0.0
1702735310.9214866,60825,0.0
1702735313.5088067,61455,0.0
1702735325.7009647,64390,0.0
1702735328.8700666,65175,0.0
1702735329.4135094,65310,0.0
1702735340.8620572,68105,0.0
1702735355.033962,71475,0.0
1702735362.6403325,73345,0.0
1702735364.9281876,73900,0.0
1702735366.861299,74370,0.0
1702735378.9639363,77370,0.0
1702735384.929114,78825,0.0
1702735392.0378215,80585,0.0
1702735407.1655362,84290,0.0
1702735411.4754977,85335,0.0
1702735412.110301,85490,0.0
1702735416.6232712,86590,0.0
1702735417.0734577,86700,0.0
1702735421.306239,87720,0.0
1702735421.5927851,87790,0.0
1702735439.9857817,92260,0.0
1702735462.0417361,97660,0.0
1702735464.2730117,98205,0.0
1702735466.1878042,98660,0.0
1702735471.5337288,99980,0.0
1702735472.7221277,100270,0.0
1702735472.9087129,100315,0.0
1702735476.6878428,101225,0.0
1702735478.3288605,101620,0.0
1702735480.6934023,102205,0.0
1702735482.69907,102700,0.0
1702735483.4889936,102895,0.0
1702735487.519705,103900,0.0
1702735487.579769,103915,0.0
1702735489.056352,104280,0.0
1702735493.6708565,105405,0.0
1702735494.9661522,105725,0.0
1702735496.7468956,106165,0.0
1702735498.504766,106600,0.0
1702735509.260247,109245,0.0
1702735517.435451,111230,0.0
1702735519.142731,111655,0.0
1702735519.7076242,111795,0.0
1702735535.6280732,115695,0.0
1702735535.833723,115745,0.0
1702735538.6362264,116435,0.0
1702735540.159984,116810,0.0
1702735541.4728632,117140,0.0
1702735543.728324,117705,0.0
1702735546.3396542,118355,0.0
1702735546.9660413,118510,0.0
1702735555.9120584,120740,0.0
1702735558.6369245,121415,0.0
1702735558.6763086,121425,0.0
1702735559.4215653,121615,0.0
1702735565.4508357,123110,0.0
1702735567.638934,123640,0.0
1702735571.8423173,124675,0.0
1702735578.2973354,126270,0.0
1702735581.0830858,126960,0.0
1702735589.5917513,129065,0.0
1702735590.3042743,129240,0.0
1702735591.790355,129610,0.0
1702735599.5010765,131520,0.0
1702735609.4948218,133990,0.0
1702735609.5149417,133995,0.0
1702735616.6323426,135775,0.0
1702735623.7273593,137530,0.0
1702735625.6654751,138020,0.0
1702735626.3762534,138195,0.0
1702735630.1984122,139130,0.0
1702735632.0437112,139585,0.0
1702735642.6122577,142195,0.0
1702735644.7659044,142720,0.0
1702735653.502964,144855,0.0
1702735654.0423636,144985,0.0
1702735655.3950644,145315,0.0
1702735658.2816021,146010,0.0
1702735659.559058,146320,0.0
1702735663.8767686,147360,0.0
1702735666.7193909,148060,0.0
1702735671.1368473,149150,0.0
1702735674.6692128,150030,0.0
1702735675.1942859,150160,0.0
1702735678.099289,150875,0.0
1702735681.1929936,151640,0.0
1702735684.0965812,152355,0.0
1702735687.0172749,153065,0.0
1702735688.959851,153535,0.0
1702735689.2494283,153605,0.0
1702735703.267519,157035,0.0
1702735704.0097268,157220,0.0
1702735712.8539557,159405,0.0
1702735713.9886122,159685,0.0
1702735719.5199282,161040,0.0
1702735724.2383728,162180,0.0
1702735726.4415016,162715,0.0
1702735728.80198,163290,0.0
1702735730.9237664,163815,0.0
1702735733.6415691,164475,0.0
1702735733.8071198,164515,0.0
1702735736.501298,165175,0.0
1702735739.5276363,165910,0.0
1702735743.5097935,166880,0.0
1702735744.074522,167020,0.0
1702735750.970891,168690,0.0
1702735751.2184534,168750,0.0
1702735751.9522712,168930,0.0
1702735753.0618012,169200,0.0
1702735753.8153992,169385,0.0
1702735754.571144,169570,0.0
1702735757.087676,170185,0.0
1702735763.6890304,171815,0.0
1702735766.8808904,172630,0.0
1702735768.3477914,173000,0.0
1702735783.0921652,176670,0.0
1702735783.5135288,176775,0.0
1702735786.1456354,177420,0.0
1702735791.9615781,178860,0.0
1702735795.6613,179770,0.0
1702735797.3615537,180190,0.0
1702735809.2198095,183150,0.0
1702735809.8513103,183300,0.0
1702735812.017658,183840,0.0
1702735813.689112,184255,0.0
1702735820.746168,186015,0.0
1702735826.5700457,187450,0.0
1702735832.1132019,188825,0.0
1702735834.3723822,189385,0.0
1702735846.1033714,192280,0.0
1702735851.5394876,193605,0.0
1702735854.0016928,194205,0.0
1702735856.8861532,194910,0.0
1702735863.32182,196485,0.0
1702735871.5613842,198515,0.0
1702735875.7619715,199550,0.0
1702735878.0302973,200105,0.0
1702735883.6502857,201485,0.0
1702735887.7421072,202505,0.0
1702735891.1238606,203340,0.0
1702735892.2180016,203605,0.0
1702735893.7261496,203970,0.0
1702735898.8019931,205205,0.0
1702735903.5011787,206360,0.0
1702735908.9340394,207700,0.0
1702735921.0262842,210675,0.0
1702735927.498062,212255,0.0
1702735927.8649414,212345,0.0
1702735932.176424,213395,0.0
1702735949.5474272,217595,0.0
1702735952.0461364,218200,0.0
1702735953.541086,218560,0.0
1702735954.096811,218695,0.0
1702735954.1783726,218715,0.0
1702735955.470137,219030,0.0
1702735959.3623867,219970,0.0
1702735960.9988809,220370,0.0
1702735963.614645,221005,0.0
1702735963.759909,221040,0.0
1702735964.6621144,221260,0.0
1702735965.7600772,221525,0.0
1702735976.1876316,224085,0.0
1702735979.2079794,224825,0.0
1702735987.5546043,226865,0.0
1702735990.3444827,227540,0.0
1702735993.4675121,228295,0.0
1702736006.898041,231595,0.0
1702736007.2273378,231675,0.0
1702736008.8668237,232070,0.0
1702736027.2681072,236510,0.0
1702736034.164993,238195,0.0
1702736035.515375,238530,0.0
1702736036.3069167,238725,0.0
1702736039.1590502,239415,0.0
1702736040.5005238,239740,0.0
1702736040.9687517,239855,0.0
1702736043.1077948,240385,0.0
1702736045.2529027,240910,0.0
1702736046.2009263,241140,0.0
1702736052.3608315,242615,0.0
1702736067.6898837,246365,0.0
1702736069.2871635,246760,0.0
1702736071.8723829,247390,0.0
1702736082.6490395,250035,0.0
1702736083.6627529,250285,0.0
1702736085.8818944,250830,0.0
1702736086.4883223,250980,0.0
1702736099.3750503,254100,0.0
1702736102.7936766,254900,0.0
1702736106.0781531,255675,0.0
1702736107.9849856,256140,0.0
1702736119.8210227,258995,0.0
1702736124.0171301,260010,0.0
1702736129.906659,261465,0.0
1702736131.12543,261770,0.0
1702736134.3869698,262555,0.0
1702736137.9309583,263415,0.0
1702736142.5340357,264535,0.0
1702736143.2218962,264700,0.0
1702736146.3946352,265465,0.0
1702736146.6961381,265540,0.0
1702736154.0345488,267345,0.0
1702736158.8731112,268535,0.0
1702736159.098351,268590,0.0
1702736162.1120472,269315,0.0
1702736163.0334656,269535,0.0
1702736167.5496461,270620,0.0
1702736179.3038847,273460,0.0
1702736181.7115116,274040,0.0
1702736184.4368887,274690,0.0
1702736185.3830519,274915,0.0
1702736191.899542,276500,0.0
1702736196.9098668,277720,0.0
1702736197.0751402,277760,0.0
1702736200.3766453,278570,0.0
1702736201.4544742,278835,0.0
1702736212.99273,281690,0.0
1702736216.4114707,282540,0.0
1702736216.6941247,282610,0.0
1702736218.4502084,283045,0.0
1702736222.0555797,283940,0.0
1702736222.720097,284105,0.0
1702736232.5595193,286530,0.0
1702736236.1809037,287425,0.0
1702736255.8385777,292205,0.0
1702736258.180719,292785,0.0
1702736261.5004601,293600,0.0
1702736262.0501306,293735,0.0
1702736262.3951201,293820,0.0
1702736272.618002,296325,0.0
1702736273.5627038,296560,0.0
1702736276.0315497,297165,0.0
1702736280.282543,298205,0.0
1702736280.8842661,298355,0.0
1702736291.3172572,300900,0.0
1702736291.4410138,300930,0.0
1702736291.8975537,301040,0.0
1702736293.7328234,301490,0.0
1702736297.383355,302380,0.0
1702736312.4194655,306030,0.0
1702736313.8715138,306385,0.0
1702736317.1721041,307195,0.0
1702736322.133787,308405,0.0
1702736331.4701807,310700,0.0
1702736333.0938356,311100,0.0
1702736339.1127117,312585,0.0
1702736339.7377825,312740,0.0
1702736346.3382983,314375,0.0
1702736349.3609536,315125,0.0
1702736353.4330378,316105,0.0
1702736359.5021248,317570,0.0
1702736362.7202308,318360,0.0
1702736366.6335824,319330,0.0
1702736380.1784537,322610,0.0
1702736383.5644178,323440,0.0
1702736387.7135112,324450,0.0
1702736395.9722924,326465,0.0
1702736402.3287046,328010,0.0
1702736403.2215095,328220,0.0
1702736411.5434191,330250,0.0
1702736416.6140318,331495,0.0
1702736426.7200894,333940,0.0
1702736430.5842483,334885,0.0
1702736431.5143404,335110,0.0
1702736440.2083197,337205,0.0
1702736457.2700763,341320,0.0
1702736457.6416657,341410,0.0
1702736459.651468,341895,0.0
1702736460.6917086,342150,0.0
1702736464.0395293,342955,0.0
1702736476.0667546,345860,0.0
1702736476.3539479,345930,0.0
1702736481.945502,347280,0.0
1702736487.3663995,348600,0.0
1702736488.9621956,348995,0.0
1702736491.371139,349580,0.0
1702736502.6639752,352315,0.0
1702736505.125512,352905,0.0
1702736506.7080534,353285,0.0
1702736512.055379,354580,0.0
1702736513.7139006,354985,0.0
1702736522.5713975,357145,0.0
1702736525.1701176,357775,0.0
1702736525.7020986,357905,0.0
1702736528.102211,358485,0.0
1702736532.4477427,359535,0.0
1702736533.4958103,359790,0.0
1702736533.9415817,359900,0.0
1702736534.6074224,360065,0.0
1702736535.1100419,360190,0.0
1702736540.5043988,361490,0.0
1702736540.546547,361500,0.0
1702736542.6494622,362010,0.0
1702736542.710968,362025,0.0
1702736545.9021804,362795,0.0
1702736549.2717502,363620,0.0
1702736552.303479,364370,0.0
1702736555.0898325,365050,0.0
1702736558.5741282,365900,0.0
1702736571.0633054,368975,0.0
1702736572.0221214,369210,0.0
1702736573.250534,369510,0.0
1702736573.7201502,369625,0.0
1702736579.070629,370940,0.0
1702736593.5080469,374510,0.0
1702736599.093948,375860,0.0
1702736605.2054813,377350,0.0
1702736605.5750976,377440,0.0
1702736607.2198036,377840,0.0
1702736614.7704573,379645,0.0
1702736620.706476,381095,0.0
1702736625.0855186,382160,0.0
1702736626.1369636,382415,0.0
1702736629.0923107,383135,0.0
1702736630.0857008,383370,0.0
1702736632.5487,383955,0.0
1702736634.9400692,384535,0.0
1702736635.0832038,384570,0.0
1702736640.9820263,385995,0.0
1702736647.7142181,387655,0.0
1702736655.3497286,389510,0.0
1702736660.1787512,390680,0.0
1702736661.689851,391045,0.0
1702736673.3666952,393880,0.0
1702736674.7381883,394220,0.0
1702736676.2978606,394605,0.0
1702736676.579859,394675,0.0
1702736677.3665397,394870,0.0
1702736678.018609,395030,0.0
1702736686.4837663,397095,0.0
1702736690.180313,397990,0.0
1702736697.8600113,399880,0.0
1702736698.9908526,400160,0.0
1702736699.0721526,400180,0.0
1702736700.41305,400505,0.0
1702736701.7259426,400830,0.0
1702736706.2952375,401955,0.0
1702736706.6156964,402035,0.0
1702736709.5276296,402755,0.0
1702736710.0636523,402885,0.0
1702736710.8290493,403070,0.0
1702736718.7463136,404985,0.0
1702736719.1335223,405080,0.0
1702736721.2367928,405590,0.0
1702736726.6157255,406910,0.0
1702736728.885245,407475,0.0
1702736729.6094851,407650,0.0
1702736754.6275222,413685,0.0
1702736755.3203163,413855,0.0
1702736756.9395642,414250,0.0
1702736765.529518,416340,0.0
1702736775.7061384,418815,0.0
1702736784.640419,420990,0.0
1702736789.0034149,422050,0.0
1702736792.9960935,423010,0.0
1702736794.7639413,423435,0.0
1702736797.529431,424095,0.0
1702736803.13303,425450,0.0
1702736804.8072398,425850,0.0
1702736811.8304458,427545,0.0
1702736812.4699075,427700,0.0
1702736813.1460388,427865,0.0
1702736815.4565673,428435,0.0
1702736816.7338183,428750,0.0
1702736822.1379995,430075,0.0
1702736837.845848,433905,0.0
1702736839.5823512,434330,0.0
1702736842.4951022,435045,0.0
1702736850.5250475,436970,0.0
1702736851.7347233,437255,0.0
1702736856.1974754,438335,0.0
1702736859.5633807,439150,0.0
