Wall time,Step,Value
1702531792.6071389,215,0.0
1702531794.2698948,840,0.0
1702531795.0603197,1150,0.0
1702531798.2234724,2375,0.0
1702531799.0042207,2685,0.0
1702531799.5616536,2900,0.0
1702531799.6526833,2935,0.0
1702531800.412829,3240,0.0
1702531802.3500857,4045,0.0
1702531804.8341074,5075,0.0
1702531808.6476252,6670,0.0
1702531809.2750504,6930,0.0
1702531809.8958983,7185,0.0
1702531813.6299605,8675,0.0
1702531813.6677032,8690,0.0
1702531815.4880176,9390,0.0
1702531821.002797,11540,1.0
1702531822.0661476,11950,1.0
1702531823.312837,12430,1.0
1702531823.325665,12435,1.0
1702531825.937362,13430,1.0
1702531833.0584905,16155,1.0
1702531833.2680929,16235,1.0
1702531834.0267384,16530,1.0
1702531838.0276499,18095,1.0
1702531838.0534003,18105,1.0
1702531847.1021702,21590,1.0
1702531848.1814978,22005,1.0
1702531849.3619556,22465,1.0
1702531849.5742598,22550,1.0
1702531855.5350163,24860,1.0
1702531857.6518078,25675,1.0
1702531860.3599627,26730,1.0
1702531865.1821258,28620,1.0
1702531867.5676014,29540,1.0
1702531868.6251545,29955,1.0
1702531871.3272486,31005,1.0
1702531877.8208528,33500,1.0
1702531877.9772573,33560,1.0
1702531879.8165739,34275,1.0
1702531881.2364135,34835,1.0
1702531883.6392207,35780,1.0
1702531887.57044,37305,1.0
1702531887.6094062,37320,1.0
1702531891.9305632,38995,1.0
1702531892.3795366,39170,1.0
1702531895.3849616,40335,2.0
1702531896.8612661,40905,2.0
1702531897.3964121,41110,2.0
1702531900.932759,42495,2.0
1702531901.0615542,42545,2.0
1702531905.851167,44395,2.0
1702531906.5752351,44680,2.0
1702531910.8108017,46305,2.0
1702531913.5158916,47345,2.0
1702531914.626892,47775,2.0
1702531916.487699,48495,2.0
1702531925.5414598,52000,2.0
1702531926.5837765,52400,2.0
1702531927.1374633,52615,2.0
1702531932.108849,54530,2.0
1702531932.8943188,54835,2.0
1702531933.5932944,55105,2.0
1702531940.2573786,57665,2.0
1702531940.69175,57835,2.0
1702531945.9192858,59850,2.0
1702531945.9827626,59875,2.0
1702531948.428045,60825,2.0
1702531950.0432796,61455,2.0
1702531957.6572838,64390,2.0
1702531959.6770663,65175,2.0
1702531960.0366783,65310,2.0
1702531967.3715594,68105,2.0
1702531976.1523128,71475,2.0
1702531981.0218709,73345,2.0
1702531982.492419,73900,2.0
1702531983.736227,74370,2.0
1702531991.539118,77370,2.0
1702531995.2666638,78825,2.0
1702531999.8146055,80585,2.0
1702532009.4276776,84290,2.0
1702532012.1404266,85335,2.0
1702532012.5478835,85490,2.0
1702532015.4071543,86590,2.0
1702532015.693595,86700,2.0
1702532018.3738432,87720,2.0
1702532018.5587077,87790,2.0
1702532030.2083678,92260,2.0
1702532044.2631884,97660,2.0
1702532045.6768312,98205,2.0
1702532046.839536,98660,2.0
1702532050.306511,99980,2.0
1702532051.0686169,100270,2.0
1702532051.1877043,100315,2.0
1702532053.5419428,101225,2.0
1702532054.5660567,101620,2.0
1702532056.0609505,102205,2.0
1702532057.3531651,102700,2.0
1702532057.8638277,102895,2.0
1702532060.4626412,103900,2.0
1702532060.50133,103915,2.0
1702532061.4517443,104280,2.0
1702532064.3635352,105405,2.0
1702532065.1901133,105725,2.0
1702532066.3451355,106165,2.0
1702532067.487778,106600,2.0
1702532074.1909666,109245,2.0
1702532079.3003902,111230,2.0
1702532080.3899767,111655,2.0
1702532080.751588,111795,2.0
1702532090.9492667,115695,2.0
1702532091.08144,115745,2.0
1702532092.904756,116435,2.0
1702532093.88376,116810,2.0
1702532094.7299685,117140,2.0
1702532096.2159526,117705,2.0
1702532097.9109097,118355,2.0
1702532098.3177817,118510,2.0
1702532104.1197002,120740,2.0
1702532105.8664548,121415,2.0
1702532105.8921168,121425,2.0
1702532106.3797905,121615,2.0
1702532110.2852173,123110,2.0
1702532111.6580932,123640,2.0
1702532114.3673687,124675,2.0
1702532118.4435587,126270,2.0
1702532120.2102687,126960,2.0
1702532125.6131208,129065,2.0
1702532126.0658212,129240,2.0
1702532127.0218148,129610,2.0
1702532131.948858,131520,2.0
1702532138.3366835,133990,2.0
1702532138.349554,133995,2.0
1702532143.0265608,135775,2.0
1702532147.5764134,137530,2.0
1702532148.8531635,138020,2.0
1702532149.3024626,138195,2.0
1702532151.747158,139130,2.0
1702532152.9237337,139585,2.0
1702532159.6736233,142195,2.0
1702532161.0314977,142720,2.0
1702532166.5440779,144855,2.0
1702532166.871768,144985,2.0
1702532167.7290225,145315,2.0
1702532169.523795,146010,2.0
1702532170.3028884,146320,2.0
1702532173.011541,147360,2.0
1702532174.857194,148060,2.0
1702532177.6624181,149150,2.0
1702532179.9507854,150030,2.0
1702532180.2920737,150160,2.0
1702532182.146479,150875,2.0
1702532184.0995276,151640,2.0
1702532185.9765518,152355,2.0
1702532187.8587196,153065,2.0
1702532189.0855424,153535,2.0
1702532189.2660794,153605,2.0
1702532198.1858616,157035,2.0
1702532198.6725848,157220,2.0
1702532204.3677545,159405,2.0
1702532205.1041105,159685,2.0
1702532208.6305265,161040,2.0
1702532211.5617049,162180,2.0
1702532212.9219532,162715,2.0
1702532214.4002964,163290,2.0
1702532215.7546315,163815,2.0
1702532217.489964,164475,2.0
1702532217.5951185,164515,2.0
1702532219.3075113,165175,2.0
1702532221.1972733,165910,2.0
1702532223.7047882,166880,2.0
1702532224.0583968,167020,2.0
1702532228.4076471,168690,2.0
1702532228.5655696,168750,2.0
1702532229.031695,168930,2.0
1702532229.7362685,169200,2.0
1702532230.2187319,169385,2.0
1702532230.7013192,169570,2.0
1702532232.2823954,170185,2.0
1702532236.488796,171815,2.0
1702532238.5933695,172630,2.0
1702532239.5358238,173000,2.0
1702532249.0565453,176670,2.0
1702532249.328256,176775,2.0
1702532251.0019207,177420,2.0
1702532254.7621615,178860,2.0
1702532257.1031392,179770,2.0
1702532258.1941113,180190,2.0
1702532265.845082,183150,2.0
1702532266.228346,183300,2.0
1702532267.636295,183840,2.0
1702532268.7117271,184255,2.0
1702532273.2222383,186015,2.0
1702532276.947746,187450,2.0
1702532280.5620809,188825,2.0
1702532282.0053163,189385,2.0
1702532289.5370839,192280,2.0
1702532292.9929748,193605,2.0
1702532294.5480363,194205,2.0
1702532296.3794293,194910,2.0
1702532300.5239828,196485,2.0
1702532305.848381,198515,2.0
1702532308.5662951,199550,2.0
1702532309.9939966,200105,2.0
1702532313.572498,201485,2.0
1702532316.2334838,202505,2.0
1702532318.3844116,203340,2.0
1702532319.073722,203605,2.0
1702532320.0143929,203970,2.0
1702532323.1876357,205205,2.0
1702532326.1872487,206360,2.0
1702532329.6767926,207700,2.0
1702532337.3873827,210675,2.0
1702532341.5065417,212255,2.0
1702532341.7429945,212345,2.0
1702532344.496529,213395,2.0
1702532355.46794,217595,2.0
1702532357.0601637,218200,2.0
1702532358.0047307,218560,2.0
1702532358.3603432,218695,2.0
1702532358.4130375,218715,2.0
1702532359.2453685,219030,2.0
1702532361.731782,219970,2.0
1702532362.7616115,220370,2.0
1702532364.4078739,221005,2.0
1702532364.5003526,221040,2.0
1702532365.0661418,221260,2.0
1702532365.7456377,221525,2.0
1702532372.4296267,224085,2.0
1702532374.3704545,224825,2.0
1702532379.6760528,226865,2.0
1702532381.4416735,227540,2.0
1702532383.413671,228295,2.0
1702532391.963315,231595,2.0
1702532392.1746714,231675,2.0
1702532393.191662,232070,2.0
1702532404.7428343,236510,2.0
1702532409.169151,238195,2.0
1702532410.0455682,238530,2.0
1702532410.552898,238725,2.0
1702532412.3732028,239415,2.0
1702532413.212598,239740,2.0
1702532413.510723,239855,2.0
1702532414.883208,240385,2.0
1702532416.2420504,240910,2.0
1702532416.8520753,241140,2.0
1702532420.680006,242615,2.0
1702532430.370187,246365,2.0
1702532431.405097,246760,2.0
1702532433.052181,247390,2.0
1702532439.872597,250035,2.0
1702532440.5190322,250285,2.0
1702532441.9030187,250830,2.0
1702532442.2880075,250980,2.0
1702532450.319908,254100,2.0
1702532452.3599553,254900,2.0
1702532454.347302,255675,2.0
1702532455.5386367,256140,2.0
1702532462.9028232,258995,2.0
1702532465.5147066,260010,2.0
1702532469.2903357,261465,2.0
1702532470.080007,261770,2.0
1702532472.1191976,262555,2.0
1702532474.3505232,263415,2.0
1702532477.241136,264535,2.0
1702532477.6722908,264700,2.0
1702532479.689623,265465,2.0
1702532479.882604,265540,2.0
1702532484.4943192,267345,2.0
1702532487.5360909,268535,2.0
1702532487.6799214,268590,2.0
1702532489.5963228,269315,2.0
1702532490.1796093,269535,2.0
1702532493.0450013,270620,2.0
1702532500.4477272,273460,2.0
1702532501.9511974,274040,2.0
1702532503.6536398,274690,2.0
1702532504.2365294,274915,2.0
1702532508.3625019,276500,2.0
1702532511.5669007,277720,2.0
1702532511.6714394,277760,2.0
1702532513.7564108,278570,2.0
1702532514.4475954,278835,2.0
1702532521.7993047,281690,2.0
1702532524.0211153,282540,2.0
1702532524.1963313,282610,2.0
1702532525.3159108,283045,2.0
1702532527.6535573,283940,2.0
1702532528.0856643,284105,2.0
1702532534.4306982,286530,3.0
1702532536.7422938,287425,3.0
1702532549.1925209,292205,4.0
1702532550.7309778,292785,4.0
1702532552.8227324,293600,4.0
1702532553.1805708,293735,4.0
1702532553.4061882,293820,4.0
1702532559.9519758,296325,4.0
1702532560.555184,296560,4.0
1702532562.139398,297165,4.0
1702532564.8375168,298205,4.0
1702532565.2298167,298355,4.0
1702532571.830219,300900,4.0
1702532571.905934,300930,4.0
1702532572.1918876,301040,4.0
1702532573.3510973,301490,4.0
1702532575.6408992,302380,4.0
1702532585.1058958,306030,4.0
1702532585.9967601,306385,4.0
1702532588.0569265,307195,4.0
1702532591.1757128,308405,4.0
1702532597.1275673,310700,4.0
1702532598.1662538,311100,4.0
1702532602.0353813,312585,4.0
1702532602.434613,312740,4.0
1702532606.6549788,314375,4.0
1702532608.6021512,315125,4.0
1702532611.1599088,316105,4.0
1702532614.905748,317570,4.0
1702532616.9714806,318360,4.0
1702532619.5099642,319330,4.0
1702532628.024554,322610,4.0
1702532630.196494,323440,4.0
1702532632.8643818,324450,4.0
1702532638.111006,326465,4.0
1702532642.1725576,328010,4.0
1702532642.7265937,328220,4.0
1702532647.9411564,330250,4.0
1702532651.1927357,331495,4.0
1702532657.43223,333940,4.0
1702532659.8763454,334885,4.0
1702532660.452579,335110,4.0
1702532665.8645396,337205,4.0
1702532676.5556147,341320,4.0
1702532676.7912557,341410,4.0
1702532678.0655131,341895,4.0
1702532678.736161,342150,4.0
1702532680.8397179,342955,4.0
1702532688.4138727,345860,4.0
1702532688.600432,345930,4.0
1702532692.1277602,347280,4.0
1702532695.6075687,348600,4.0
1702532696.6226416,348995,4.0
1702532698.1562357,349580,4.0
1702532705.3162944,352315,4.0
1702532706.875738,352905,4.0
1702532707.9037335,353285,4.0
1702532711.2566767,354580,4.0
1702532712.3229387,354985,4.0
1702532718.0272913,357145,4.0
1702532719.6869087,357775,4.0
1702532720.0340052,357905,4.0
1702532721.539176,358485,4.0
1702532724.224018,359535,4.0
1702532724.886769,359790,4.0
1702532725.170697,359900,4.0
1702532725.5869517,360065,4.0
1702532725.9102468,360190,4.0
1702532729.2900136,361490,4.0
1702532729.316256,361500,4.0
1702532730.6302812,362010,4.0
1702532730.6680582,362025,4.0
1702532732.642464,362795,4.0
1702532734.8154967,363620,4.0
1702532736.7604291,364370,4.0
1702532738.5161548,365050,4.0
1702532740.7570457,365900,4.0
1702532748.83888,368975,4.0
1702532749.4622524,369210,4.0
1702532750.2519658,369510,4.0
1702532750.5590231,369625,4.0
1702532753.9981358,370940,4.0
1702532763.358035,374510,4.0
1702532766.8204126,375860,4.0
1702532770.7513409,377350,4.0
1702532770.9880748,377440,4.0
1702532772.044873,377840,4.0
1702532777.183085,379645,4.0
1702532780.9372954,381095,4.0
1702532783.7286403,382160,4.0
1702532784.3916547,382415,4.0
1702532786.2263374,383135,4.0
1702532786.8273017,383370,4.0
1702532788.3564458,383955,4.0
1702532789.855166,384535,4.0
1702532789.9481158,384570,4.0
1702532793.6312234,385995,4.0
1702532797.9235134,387655,4.0
1702532802.8133337,389510,4.0
1702532805.8748035,390680,4.0
1702532806.7986474,391045,4.0
1702532814.1301951,393880,4.0
1702532815.0103343,394220,4.0
1702532816.016068,394605,4.0
1702532816.199279,394675,4.0
1702532816.7081192,394870,4.0
1702532817.1107845,395030,4.0
1702532822.527175,397095,4.0
1702532824.8545103,397990,5.0
1702532829.7975934,399880,5.0
1702532830.4973156,400160,5.0
1702532830.547284,400180,5.0
1702532831.3789744,400505,5.0
1702532832.2500153,400830,5.0
1702532835.1870525,401955,5.0
1702532835.3933518,402035,5.0
1702532837.3013754,402755,5.0
1702532837.6396813,402885,5.0
1702532838.1294203,403070,5.0
1702532843.1610322,404985,5.0
1702532843.4089475,405080,5.0
1702532844.7417924,405590,5.0
1702532848.1570468,406910,5.0
1702532849.6452866,407475,5.0
1702532850.0902836,407650,5.0
1702532865.8853211,413685,5.0
1702532866.3380082,413855,5.0
1702532867.3827083,414250,5.0
1702532872.884769,416340,5.0
1702532879.2980232,418815,5.0
1702532884.9939077,420990,5.0
1702532887.7660136,422050,5.0
1702532890.2698932,423010,5.0
1702532891.3893883,423435,5.0
1702532893.1330101,424095,5.0
1702532896.653294,425450,5.0
1702532897.7132816,425850,5.0
1702532902.1781294,427545,6.0
1702532902.5737264,427700,6.0
1702532903.0081465,427865,6.0
1702532904.513158,428435,6.0
1702532905.3437974,428750,6.0
1702532908.8085313,430075,6.0
1702532918.803783,433905,6.0
1702532919.9366012,434330,6.0
1702532921.7997825,435045,6.0
1702532926.828701,436970,6.0
1702532927.5707293,437255,6.0
1702532930.399675,438335,6.0
1702532932.537462,439150,6.0
1702532936.5489607,440690,6.0
1702532943.5760896,443375,7.0
1702532945.4096372,444080,7.0
1702532951.2305813,446315,7.0
1702532952.3446376,446740,7.0
1702532952.5503774,446820,7.0
1702532957.5459392,448730,7.0
1702532960.511236,449870,7.0
1702532961.3160312,450180,7.0
1702532963.9754145,451190,7.0
1702532966.7387698,452255,7.0
1702532975.135422,455475,8.0
1702532977.8410957,456505,8.0
1702532982.0311873,458125,8.0
1702532982.2951896,458225,8.0
1702532982.3352058,458240,8.0
1702532983.460364,458665,8.0
1702532983.499396,458680,8.0
1702532988.481676,460605,8.0
1702532996.3758008,463650,8.0
1702532997.156898,463945,8.0
1702533001.6085305,465635,8.0
1702533002.87912,466120,8.0
1702533006.1405196,467360,9.0
1702533011.7566435,469510,9.0
1702533020.0514615,472685,9.0
1702533023.2783258,473925,9.0
1702533024.6821144,474460,9.0
1702533026.845825,475290,9.0
1702533028.5283346,475925,9.0
1702533030.3196049,476610,9.0
1702533031.0391479,476890,9.0
1702533031.4418108,477050,9.0
1702533032.3563662,477405,9.0
1702533037.2295575,479305,9.0
1702533038.376589,479750,9.0
1702533038.6764948,479865,9.0
1702533042.995618,481510,9.0
1702533046.0544133,482680,9.0
1702533046.9088287,483005,9.0
1702533054.17975,485785,9.0
1702533055.0833857,486135,9.0
1702533057.5675054,487085,9.0
1702533059.9346263,487985,9.0
1702533062.5687585,488985,9.0
1702533063.6116457,489385,9.0
1702533065.052309,489935,9.0
1702533067.9934878,491065,9.0
1702533070.4923291,492025,9.0
1702533071.394591,492375,9.0
1702533072.0216045,492620,9.0
1702533078.9534252,495280,9.0
1702533084.8729398,497535,9.0
1702533086.2563968,498065,9.0
1702533086.2822785,498075,9.0
1702533089.7485762,499425,9.0
1702533098.7015772,502835,9.0
1702533098.998184,502950,9.0
1702533101.0954204,503760,10.0
1702533102.4696825,504295,10.0
1702533103.238827,504590,10.0
1702533104.2664347,504990,10.0
1702533105.2184978,505365,10.0
1702533106.28562,505780,10.0
1702533107.304316,506175,10.0
1702533108.6141112,506680,10.0
1702533109.8510642,507160,10.0
1702533110.7528002,507500,10.0
1702533116.2554786,509620,11.0
1702533116.5194595,509720,11.0
1702533121.2591956,511540,11.0
1702533123.87797,512550,11.0
1702533124.2846935,512710,11.0
1702533124.977077,512980,11.0
1702533126.1119604,513430,12.0
1702533128.6441271,514405,12.0
1702533129.0516584,514560,12.0
1702533129.7754426,514835,12.0
1702533130.234245,515010,12.0
1702533130.3665454,515060,12.0
1702533132.9132502,516035,12.0
1702533136.932088,517590,12.0
1702533142.500894,519740,12.0
1702533146.8211677,521385,12.0
1702533147.569305,521675,12.0
1702533152.3706617,523525,12.0
1702533153.9151762,524115,12.0
1702533154.709618,524415,12.0
1702533154.8932884,524485,12.0
1702533155.0853024,524560,12.0
1702533155.2538633,524625,12.0
1702533157.4356577,525470,12.0
1702533161.9119778,527175,12.0
1702533164.2243602,528055,12.0
1702533166.3921828,528875,12.0
1702533166.575168,528945,12.0
1702533172.1506982,531055,12.0
1702533172.890238,531340,12.0
1702533174.4900808,531955,12.0
1702533176.8160796,532835,12.0
1702533178.1362653,533335,12.0
1702533183.8649313,535520,12.0
1702533192.4720592,538825,12.0
1702533193.4325235,539190,12.0
1702533201.394093,542250,12.0
1702533203.167796,542935,12.0
1702533211.6611145,546215,12.0
1702533211.6744535,546220,12.0
1702533212.4321516,546510,12.0
1702533215.0560212,547510,12.0
1702533219.28452,549115,12.0
1702533222.4851913,550320,12.0
1702533224.1626155,550960,12.0
1702533224.596753,551125,12.0
1702533227.1422715,552095,12.0
1702533229.3408964,552935,12.0
1702533230.074311,553210,12.0
1702533231.3073375,553690,12.0
1702533237.2792616,555975,12.0
1702533237.81766,556180,12.0
1702533238.9523845,556620,12.0
1702533241.8230884,557730,12.0
1702533243.829141,558495,12.0
1702533246.6529832,559580,12.0
1702533253.9085,562355,12.0
1702533256.3954341,563325,12.0
1702533256.9015577,563520,12.0
1702533259.535397,564515,12.0
1702533265.022356,566615,13.0
1702533268.466655,567950,14.0
1702533270.464876,568710,14.0
1702533273.6013117,569905,14.0
1702533277.6728597,571465,14.0
1702533279.8665981,572300,14.0
1702533284.6228368,574105,14.0
1702533288.2681816,575485,14.0
1702533288.9479501,575750,14.0
1702533293.6355138,577535,14.0
1702533293.7923744,577595,14.0
1702533297.005582,578830,14.0
1702533298.4666567,579395,14.0
1702533300.5870142,580200,14.0
1702533301.7960062,580650,14.0
1702533306.014326,582270,14.0
1702533308.8642278,583370,14.0
1702533309.3580344,583560,14.0
1702533310.2830644,583920,14.0
1702533310.78954,584115,14.0
1702533313.2893548,585085,14.0
1702533313.472721,585155,14.0
1702533313.698074,585240,14.0
1702533315.1316738,585780,14.0
1702533321.3549361,588180,14.0
1702533323.799531,589130,14.0
1702533325.3225706,589710,14.0
1702533328.2079408,590810,14.0
1702533328.5783677,590955,14.0
1702533334.5766535,593260,14.0
1702533337.8956442,594545,14.0
1702533338.2830591,594690,14.0
1702533339.0878942,594995,14.0
1702533343.0762715,596515,14.0
1702533345.253608,597355,14.0
1702533351.9017684,599900,14.0
1702533367.719377,605965,14.0
1702533367.7325323,605970,14.0
1702533369.5264077,606665,14.0
1702533369.9139402,606815,14.0
1702533370.4381857,607020,14.0
1702533376.0854964,609180,14.0
1702533376.6424305,609390,14.0
1702533380.917314,611030,14.0
1702533386.3749163,613115,14.0
1702533386.5332994,613175,14.0
1702533387.9064772,613700,14.0
1702533392.2087877,615345,14.0
1702533399.1611269,618050,14.0
1702533399.4742334,618170,14.0
1702533399.9077294,618335,14.0
1702533405.5980816,620520,14.0
1702533406.8389094,620990,14.0
1702533411.1998672,622665,14.0
1702533414.1817224,623805,14.0
1702533414.928257,624095,14.0
1702533417.8453147,625220,14.0
1702533421.0682468,626455,14.0
1702533436.1099854,632225,14.0
1702533439.267689,633440,14.0
1702533442.4562643,634680,14.0
1702533443.140182,634945,14.0
1702533444.5664148,635490,14.0
1702533446.289769,636155,14.0
1702533448.6787093,637075,14.0
1702533450.3434267,637715,14.0
1702533451.58964,638190,14.0
1702533453.4962335,638930,14.0
1702533453.9166152,639090,14.0
1702533454.714238,639395,14.0
1702533454.948641,639485,14.0
1702533457.7817714,640565,14.0
1702533460.2808924,641525,14.0
1702533461.6457338,642045,14.0
1702533467.5543525,644265,14.0
1702533471.437551,645735,14.0
1702533473.7205088,646595,14.0
1702533474.8796325,647035,14.0
1702533475.0409365,647095,14.0
1702533475.1471682,647135,14.0
1702533476.142897,647515,14.0
1702533476.70721,647730,14.0
1702533481.705627,649630,14.0
1702533483.6454132,650360,14.0
1702533491.9063704,653520,14.0
1702533494.756241,654635,14.0
1702533502.1328764,657460,14.0
1702533502.27894,657515,14.0
1702533504.6262462,658405,14.0
1702533505.3228006,658675,14.0
1702533507.1796544,659385,14.0
1702533517.6287575,663385,14.0
1702533520.7265792,664585,14.0
1702533524.4734087,666035,14.0
1702533525.914362,666595,14.0
1702533528.6683538,667645,14.0
1702533529.6333466,668005,14.0
1702533532.9808269,669305,14.0
1702533534.9039063,670040,14.0
1702533539.725183,671885,14.0
1702533539.8983967,671950,14.0
1702533541.0233533,672375,14.0
1702533546.248154,674390,14.0
1702533547.6398792,674920,14.0
1702533555.8502047,678080,14.0
1702533559.2008429,679365,14.0
1702533563.5492334,681050,14.0
1702533564.4910097,681405,14.0
1702533565.5170417,681795,14.0
1702533569.6840498,683370,14.0
1702533569.749585,683395,14.0
1702533569.945409,683470,14.0
1702533574.2584648,685120,14.0
1702533574.6707869,685280,14.0
1702533577.2035491,686265,14.0
1702533580.1885161,687415,14.0
1702533581.2700367,687830,14.0
1702533581.5126789,687925,14.0
1702533582.8267972,688440,14.0
1702533586.4509897,689835,14.0
1702533592.7130897,692225,14.0
1702533593.0755455,692365,14.0
1702533594.1765246,692795,14.0
1702533599.1622903,694700,14.0
1702533603.2974718,696295,14.0
1702533605.199834,697020,14.0
1702533605.7962184,697250,14.0
1702533612.6276891,699880,14.0
1702533613.1556356,700080,14.0
1702533613.53808,700230,14.0
1702533613.6684492,700280,14.0
1702533614.644536,700660,14.0
1702533615.086244,700830,14.0
1702533616.2211032,701265,14.0
1702533616.6267219,701420,14.0
1702533622.6968956,703755,14.0
1702533625.8234868,704950,14.0
1702533628.8468587,706115,14.0
1702533637.1978564,709270,14.0
1702533637.6593168,709450,14.0
1702533638.9271326,709935,14.0
