Wall time,Step,Value
1702546088.8259702,215,0.0
1702546090.2017097,840,0.0
1702546090.8862855,1150,0.0
1702546093.4775732,2375,1.0
1702546094.1512275,2685,1.0
1702546094.6204991,2900,1.0
1702546094.6963055,2935,1.0
1702546095.36641,3240,1.0
1702546097.0770369,4045,1.0
1702546099.2661872,5075,1.0
1702546102.7422886,6670,1.0
1702546103.3140552,6930,1.0
1702546103.8748245,7185,1.0
1702546107.1457744,8675,1.0
1702546107.1782074,8690,1.0
1702546108.6779776,9390,1.0
1702546113.3345664,11540,1.0
1702546114.2233021,11950,1.0
1702546115.2480447,12430,1.0
1702546115.2587976,12435,1.0
1702546117.4247718,13430,1.0
1702546123.3579087,16155,1.0
1702546123.5366673,16235,1.0
1702546124.189797,16530,1.0
1702546127.6034727,18095,1.0
1702546127.6253762,18105,1.0
1702546135.1854453,21590,1.0
1702546136.097784,22005,1.0
1702546137.1160383,22465,1.0
1702546137.3040178,22550,1.0
1702546142.3984764,24860,1.0
1702546144.183174,25675,1.0
1702546146.5245173,26730,1.0
1702546150.7103734,28620,1.0
1702546152.73121,29540,2.0
1702546153.6336858,29955,2.0
1702546155.9583662,31005,2.0
1702546161.3628979,33500,2.0
1702546161.4967043,33560,2.0
1702546163.0723555,34275,2.0
1702546164.2674508,34835,2.0
1702546166.3226678,35780,2.0
1702546169.7159386,37305,2.0
1702546169.7486696,37320,2.0
1702546173.389981,38995,2.0
1702546173.7729475,39170,2.0
1702546176.2998042,40335,2.0
1702546177.545281,40905,2.0
1702546177.989308,41110,2.0
1702546181.0445712,42495,2.0
1702546181.1557388,42545,2.0
1702546185.219664,44395,2.0
1702546185.8446672,44680,2.0
1702546189.3665812,46305,2.0
1702546191.670989,47345,2.0
1702546192.616847,47775,2.0
1702546194.170963,48495,2.0
1702546201.8804734,52000,2.0
1702546202.771016,52400,2.0
1702546203.2551093,52615,2.0
1702546207.4480343,54530,2.0
1702546208.097291,54835,2.0
1702546208.6748595,55105,2.0
1702546214.2930558,57665,2.0
1702546214.669285,57835,2.0
1702546219.0576108,59850,2.0
1702546219.1138532,59875,2.0
1702546221.2179217,60825,2.0
1702546222.5975518,61455,2.0
1702546229.0299644,64390,2.0
1702546230.759302,65175,2.0
1702546231.0560544,65310,2.0
1702546237.2052069,68105,2.0
1702546244.5256,71475,2.0
1702546248.639463,73345,2.0
1702546249.8655295,73900,2.0
1702546250.9089122,74370,2.0
1702546257.5517783,77370,2.0
1702546260.7564235,78825,2.0
1702546264.585714,80585,4.0
1702546272.78472,84290,4.0
1702546275.038992,85335,4.0
1702546275.3843958,85490,4.0
1702546277.7871115,86590,4.0
1702546278.028437,86700,4.0
1702546280.292604,87720,4.0
1702546280.4492745,87790,4.0
1702546290.3507073,92260,4.0
1702546302.1113966,97660,5.0
1702546303.2700326,98205,5.0
1702546304.25753,98660,5.0
1702546307.1392016,99980,5.0
1702546307.7829618,100270,5.0
1702546307.882797,100315,5.0
1702546309.8903394,101225,5.0
1702546310.7666578,101620,5.0
1702546312.054128,102205,5.0
1702546313.0991695,102700,5.0
1702546313.5172544,102895,5.0
1702546315.7251573,103900,5.0
1702546315.7577205,103915,5.0
1702546316.549784,104280,5.0
1702546318.965473,105405,5.0
1702546319.66645,105725,5.0
1702546320.625978,106165,5.0
1702546321.5546315,106600,5.0
1702546327.3691785,109245,5.0
1702546331.7298381,111230,5.0
1702546332.642816,111655,5.0
1702546332.94565,111795,5.0
1702546341.4326525,115695,5.0
1702546341.5416117,115745,5.0
1702546343.0707371,116435,5.0
1702546343.8822649,116810,5.0
1702546344.601702,117140,5.0
1702546345.8452873,117705,5.0
1702546347.2439497,118355,5.0
1702546347.5754614,118510,5.0
1702546352.4442825,120740,5.0
1702546353.9556127,121415,5.0
1702546353.9779046,121425,5.0
1702546354.3999293,121615,5.0
1702546357.6594956,123110,5.0
1702546358.8372414,123640,5.0
1702546361.115252,124675,5.0
1702546364.5844154,126270,5.0
1702546366.1116042,126960,5.0
1702546370.7695713,129065,5.0
1702546371.150716,129240,5.0
1702546371.9528346,129610,5.0
1702546376.0692787,131520,5.0
1702546381.4562562,133990,5.0
1702546381.4671166,133995,5.0
1702546385.384906,135775,5.0
1702546389.2585323,137530,6.0
1702546390.3259797,138020,6.0
1702546390.708561,138195,6.0
1702546392.7621074,139130,6.0
1702546393.7634776,139585,6.0
1702546399.4674253,142195,6.0
1702546400.6070492,142720,6.0
1702546405.201484,144855,6.0
1702546405.489082,144985,6.0
1702546406.2150593,145315,6.0
1702546407.7215726,146010,6.0
1702546408.3831978,146320,6.0
1702546410.645336,147360,6.0
1702546412.0960712,148060,6.0
1702546414.3157744,149150,6.0
1702546416.109,150030,6.0
1702546416.3762565,150160,6.0
1702546417.9290247,150875,6.0
1702546419.6111639,151640,6.0
1702546421.1960022,152355,6.0
1702546422.7578375,153065,6.0
1702546423.7658272,153535,6.0
1702546423.9126647,153605,6.0
1702546431.3931565,157035,6.0
1702546431.7945952,157220,6.0
1702546436.5622666,159405,6.0
1702546437.1808307,159685,6.0
1702546440.175909,161040,6.0
1702546442.6989043,162180,6.0
1702546443.8570569,162715,6.0
1702546445.108602,163290,6.0
1702546446.229011,163815,6.0
1702546447.5752923,164475,6.0
1702546447.6552958,164515,6.0
1702546448.982716,165175,6.0
1702546450.4538774,165910,6.0
1702546452.4004035,166880,6.0
1702546452.6798337,167020,6.0
1702546456.0433161,168690,6.0
1702546456.1670237,168750,6.0
1702546456.537989,168930,6.0
1702546457.0938227,169200,6.0
1702546457.469496,169385,6.0
1702546457.84598,169570,6.0
1702546459.082312,170185,6.0
1702546462.3423347,171815,6.0
1702546463.9844527,172630,6.0
1702546464.7499022,173000,6.0
1702546472.635719,176670,6.0
1702546472.8591557,176775,6.0
1702546474.2719648,177420,6.0
1702546477.4355924,178860,6.0
1702546479.4340913,179770,6.0
1702546480.3664029,180190,6.0
1702546486.8884077,183150,6.0
1702546487.2208178,183300,6.0
1702546488.418999,183840,6.0
1702546489.3233628,184255,6.0
1702546493.229794,186015,6.0
1702546496.3810976,187450,6.0
1702546499.424059,188825,6.0
1702546500.6184735,189385,6.0
1702546506.8822498,192280,6.0
1702546509.7743928,193605,6.0
1702546511.105179,194205,6.0
1702546512.5399919,194910,6.0
1702546515.7142222,196485,6.0
1702546519.7879953,198515,6.0
1702546521.9276526,199550,6.0
1702546523.1222792,200105,6.0
1702546526.1579468,201485,6.0
1702546528.346387,202505,6.0
1702546530.1417036,203340,6.0
1702546530.7132442,203605,6.0
1702546531.506642,203970,6.0
1702546534.1946714,205205,6.0
1702546536.6933668,206360,6.0
1702546539.672055,207700,6.0
1702546546.1976643,210675,6.0
1702546549.6146708,212255,6.0
1702546549.8128543,212345,6.0
1702546552.0437655,213395,6.0
1702546561.1441495,217595,6.0
1702546562.455095,218200,6.0
1702546563.2292483,218560,6.0
1702546563.5228722,218695,6.0
1702546563.564338,218715,6.0
1702546564.2493079,219030,6.0
1702546566.3224952,219970,6.0
1702546567.1859152,220370,6.0
1702546568.5218008,221005,6.0
1702546568.5944734,221040,6.0
1702546569.0682266,221260,6.0
1702546569.6501772,221525,6.0
1702546575.203138,224085,6.0
1702546576.8053193,224825,6.0
1702546581.3014143,226865,6.0
1702546582.7963433,227540,6.0
1702546584.4384277,228295,6.0
1702546591.6835372,231595,6.0
1702546591.856866,231675,6.0
1702546592.7243814,232070,6.0
1702546602.4358032,236510,6.0
1702546606.0270808,238195,6.0
1702546606.7295046,238530,6.0
1702546607.1349256,238725,6.0
1702546608.6194825,239415,6.0
1702546609.3094234,239740,6.0
1702546609.5535023,239855,6.0
1702546610.7215934,240385,6.0
1702546611.9024842,240910,6.0
1702546612.4090984,241140,6.0
1702546615.677943,242615,7.0
1702546623.914472,246365,7.0
1702546624.784952,246760,7.0
1702546626.1757011,247390,7.0
1702546631.9840677,250035,7.0
1702546632.5322092,250285,7.0
1702546633.718786,250830,7.0
1702546634.0490992,250980,7.0
1702546640.8822763,254100,7.0
1702546642.6149378,254900,7.0
1702546644.3125174,255675,7.0
1702546645.341836,256140,7.0
1702546651.61408,258995,7.0
1702546653.851451,260010,7.0
1702546657.0660963,261465,7.0
1702546657.7365496,261770,7.0
1702546659.457283,262555,7.0
1702546661.3225431,263415,7.0
1702546663.7651894,264535,7.0
1702546664.1278713,264700,7.0
1702546665.8111491,265465,7.0
1702546665.973198,265540,7.0
1702546669.9536717,267345,7.0
1702546672.608415,268535,7.0
1702546672.7300978,268590,7.0
1702546674.286575,269315,7.0
1702546674.7765942,269535,7.0
1702546677.1766455,270620,7.0
1702546683.3936315,273460,8.0
1702546684.6627946,274040,8.0
1702546686.0797613,274690,8.0
1702546686.580498,274915,8.0
1702546690.0805957,276500,8.0
1702546692.7872512,277720,8.0
1702546692.8754966,277760,8.0
1702546694.6674833,278570,8.0
1702546695.2466202,278835,8.0
1702546701.508815,281690,8.0
1702546703.3898218,282540,8.0
1702546703.5466516,282610,8.0
1702546704.5016415,283045,8.0
1702546706.4746566,283940,8.0
1702546706.84071,284105,8.0
1702546712.1339688,286530,8.0
1702546714.1101854,287425,8.0
1702546724.4896615,292205,8.0
1702546725.7320647,292785,8.0
1702546727.4882824,293600,8.0
1702546727.775508,293735,8.0
1702546727.96291,293820,8.0
1702546733.4766123,296325,9.0
1702546733.971636,296560,9.0
1702546735.3036933,297165,9.0
1702546737.5737238,298205,9.0
1702546737.9012072,298355,9.0
1702546743.3837707,300900,9.0
1702546743.449262,300930,9.0
1702546743.688898,301040,9.0
1702546744.6399083,301490,9.0
1702546746.551569,302380,9.0
1702546754.4811022,306030,9.0
1702546755.2695472,306385,9.0
1702546757.048545,307195,9.0
1702546759.7163033,308405,9.0
1702546764.6516862,310700,9.0
1702546765.5084007,311100,9.0
1702546768.7169573,312585,9.0
1702546769.0528748,312740,9.0
1702546772.5459065,314375,9.0
1702546774.184265,315125,9.0
1702546776.2907212,316105,9.0
1702546779.4662404,317570,9.0
1702546781.2000036,318360,9.0
1702546783.2908406,319330,9.0
1702546790.3933241,322610,9.0
1702546792.1957557,323440,9.0
1702546794.3837636,324450,9.0
1702546798.790865,326465,9.0
1702546802.1819172,328010,9.0
1702546802.6352117,328220,9.0
1702546807.018409,330250,10.0
1702546809.7358468,331495,10.0
1702546815.022357,333940,10.0
1702546817.0998435,334885,10.0
1702546817.5769067,335110,10.0
1702546822.1714075,337205,10.0
1702546831.0963335,341320,10.0
1702546831.2914417,341410,10.0
1702546832.3338568,341895,10.0
1702546832.8905678,342150,10.0
1702546834.6444578,342955,10.0
1702546840.9733453,345860,10.0
1702546841.1265216,345930,10.0
1702546844.0875149,347280,10.0
1702546846.9925294,348600,10.0
1702546847.8345768,348995,10.0
1702546849.079676,349580,10.0
1702546854.9721265,352315,10.0
1702546856.250135,352905,10.0
1702546857.0620315,353285,10.0
1702546859.9352164,354580,10.0
1702546860.8165205,354985,10.0
1702546865.554468,357145,10.0
1702546866.9211702,357775,10.0
1702546867.2049553,357905,10.0
1702546868.4759192,358485,10.0
1702546870.7793298,359535,10.0
1702546871.333406,359790,10.0
1702546871.5756547,359900,10.0
1702546871.9258614,360065,10.0
1702546872.190263,360190,10.0
1702546875.027687,361490,10.0
1702546875.049435,361500,10.0
1702546876.1436002,362010,10.0
1702546876.176395,362025,10.0
1702546877.8587108,362795,10.0
1702546879.6820052,363620,10.0
1702546881.3103836,364370,10.0
1702546882.7765164,365050,10.0
1702546884.6469223,365900,10.0
1702546891.419843,368975,10.0
1702546891.9295135,369210,10.0
1702546892.586616,369510,10.0
1702546892.8346982,369625,10.0
1702546895.6762075,370940,10.0
1702546903.453019,374510,10.0
1702546906.4114616,375860,10.0
1702546909.6636872,377350,10.0
1702546909.8543751,377440,10.0
1702546910.7296894,377840,10.0
1702546914.7546244,379645,10.0
1702546917.9560494,381095,10.0
