Wall time,Step,Value
1702590941.054564,215,0.0
1702590944.8955996,840,0.0
1702590946.7621524,1150,0.0
1702590954.1245663,2375,0.0
1702590955.9836557,2685,0.0
1702590957.3104932,2900,0.0
1702590957.523528,2935,0.0
1702590959.3792422,3240,0.0
1702590964.2853153,4045,0.0
1702590970.507149,5075,0.0
1702590980.177821,6670,0.0
1702590981.731098,6930,0.0
1702590983.2798393,7185,0.0
1702590992.2533133,8675,0.0
1702590992.3427012,8690,0.0
1702590996.5227282,9390,0.0
1702591012.1177292,11540,0.0
1702591015.2040071,11950,0.0
1702591018.8200674,12430,0.0
1702591018.8578656,12435,0.0
1702591026.3573942,13430,0.0
1702591046.7762845,16155,0.0
1702591047.3778975,16235,0.0
1702591049.6019108,16530,0.0
1702591061.3219469,18095,0.0
1702591061.3970566,18105,0.0
1702591083.8951452,21590,0.0
1702591086.4196563,22005,0.0
1702591089.217164,22465,0.0
1702591089.7295723,22550,0.0
1702591103.6948185,24860,0.0
1702591108.5944214,25675,0.0
1702591114.9638643,26730,0.0
1702591126.389279,28620,0.0
1702591131.9156091,29540,0.0
1702591134.4203825,29955,0.0
1702591140.7636695,31005,0.0
1702591156.1501215,33500,0.0
1702591156.5993166,33560,0.0
1702591161.9633222,34275,0.0
1702591166.1562088,34835,0.0
1702591173.1821315,35780,0.0
1702591184.5949738,37305,0.0
1702591184.7076316,37320,0.0
1702591194.9358056,38995,0.0
1702591195.9965303,39170,0.0
1702591203.0746512,40335,0.0
1702591206.5153596,40905,0.0
1702591207.7482011,41110,0.0
1702591216.1240692,42495,0.0
1702591216.424636,42545,0.0
1702591227.6029913,44395,0.0
1702591229.3381827,44680,0.0
1702591239.1874716,46305,0.0
1702591245.5006208,47345,0.0
1702591248.0930264,47775,0.0
1702591252.4202235,48495,1.0
1702591273.5430052,52000,2.0
1702591275.9685733,52400,2.0
1702591277.2749317,52615,2.0
1702591288.8233445,54530,2.0
1702591290.6577525,54835,2.0
1702591292.2881396,55105,2.0
1702591307.817395,57665,2.0
1702591308.8370457,57835,2.0
1702591321.0500267,59850,2.0
1702591321.202574,59875,2.0
1702591326.9554725,60825,2.0
1702591330.76365,61455,2.0
1702591348.4764855,64390,2.0
1702591353.2239351,65175,2.0
1702591354.0449023,65310,2.0
1702591374.4364955,68105,3.0
1702591395.0281525,71475,3.0
1702591406.3570373,73345,3.0
1702591409.697826,73900,3.0
1702591412.5231652,74370,3.0
1702591430.6145995,77370,4.0
1702591439.4152174,78825,4.0
1702591450.0929346,80585,4.0
1702591472.4356444,84290,5.0
1702591479.6797316,85335,5.0
1702591480.832308,85490,5.0
1702591489.0441556,86590,5.0
1702591489.868371,86700,5.0
1702591497.4654496,87720,5.0
1702591497.9902132,87790,5.0
1702591531.396749,92260,5.0
1702591567.777708,97660,5.0
1702591571.0761096,98205,5.0
1702591573.9098148,98660,5.0
1702591583.8406863,99980,6.0
1702591586.0221527,100270,6.0
1702591586.357178,100315,6.0
1702591593.2001643,101225,6.0
1702591596.1482894,101620,6.0
1702591600.513837,102205,6.0
1702591604.227833,102700,6.0
1702591605.702989,102895,6.0
1702591613.2248585,103900,6.0
1702591613.3377903,103915,6.0
1702591616.0805542,104280,6.0
1702591624.5162704,105405,6.0
1702591626.9101527,105725,6.0
1702591630.2186215,106165,6.0
1702591633.4726138,106600,6.0
1702591653.4107838,109245,6.0
1702591668.3123631,111230,6.0
1702591671.5009089,111655,6.0
1702591672.5534394,111795,6.0
1702591701.8332589,115695,6.0
1702591702.2092335,115745,6.0
1702591707.371501,116435,6.0
1702591710.1956205,116810,6.0
1702591712.669578,117140,6.0
1702591716.90697,117705,6.0
1702591721.7724938,118355,6.0
1702591722.931857,118510,6.0
1702591739.6068575,120740,6.0
1702591744.6627612,121415,6.0
1702591744.7376542,121425,6.0
1702591746.1522937,121615,6.0
1702591757.3884957,123110,6.0
1702591760.6936357,123640,7.0
1702591766.9529977,124675,7.0
1702591776.6094358,126270,7.0
1702591780.7905037,126960,7.0
1702591793.5854964,129065,7.0
1702591794.6452472,129240,7.0
1702591796.8837185,129610,7.0
1702591808.5036557,131520,7.0
1702591823.4437146,133990,7.0
1702591823.4738586,133995,7.0
1702591834.2763157,135775,8.0
1702591844.971408,137530,8.0
1702591847.9486165,138020,8.0
1702591849.0143795,138195,8.0
1702591854.6973004,139130,8.0
1702591857.4551947,139585,8.0
1702591873.2949078,142195,8.0
1702591876.533276,142720,8.0
1702591889.5329552,144855,8.0
1702591890.3236587,144985,8.0
1702591892.3406217,145315,8.0
1702591896.5319712,146010,9.0
1702591898.4036543,146320,9.0
1702591904.7364147,147360,9.0
1702591909.0062435,148060,9.0
1702591915.6196406,149150,9.0
1702591921.0073922,150030,9.0
1702591921.7944965,150160,9.0
1702591926.1478565,150875,9.0
1702591930.839043,151640,9.0
1702591935.190456,152355,9.0
1702591939.4888313,153065,9.0
1702591942.3521123,153535,9.0
1702591942.7776713,153605,9.0
1702591963.6806815,157035,9.0
1702591964.790719,157220,9.0
1702591978.07866,159405,9.0
1702591979.7911632,159685,9.0
1702591988.080009,161040,9.0
1702591995.0014138,162180,9.0
1702591998.2606947,162715,9.0
1702592001.7970116,163290,9.0
1702592005.0023935,163815,9.0
1702592009.0210788,164475,9.0
1702592009.2636383,164515,9.0
1702592013.282153,165175,9.0
1702592017.7391915,165910,9.0
