Wall time,Step,Value
1702564809.1328368,215,0.0
1702564811.6967926,840,0.0
1702564812.984044,1150,0.0
1702564818.0103846,2375,0.0
1702564819.2782662,2685,0.0
1702564820.1492155,2900,1.0
1702564820.2896013,2935,1.0
1702564821.5381286,3240,1.0
1702564824.8698604,4045,1.0
1702564829.134206,5075,1.0
1702564835.592899,6670,1.0
1702564836.6161735,6930,1.0
1702564837.625034,7185,1.0
1702564843.5874324,8675,1.0
1702564843.6473532,8690,1.0
1702564846.8050249,9390,1.0
1702564855.9099696,11540,2.0
1702564857.5861535,11950,2.0
1702564859.5082042,12430,2.0
1702564859.5282192,12435,2.0
1702564863.493386,13430,2.0
1702564874.3095176,16155,2.0
1702564874.6314816,16235,2.0
1702564875.7988837,16530,2.0
1702564882.0004032,18095,2.0
1702564882.0398202,18105,2.0
1702564895.8526547,21590,2.0
1702564897.5145662,22005,2.0
1702564899.3388917,22465,2.0
1702564899.6694503,22550,2.0
1702564911.1155453,24860,2.0
1702564915.171713,25675,2.0
1702564920.3687775,26730,2.0
1702564929.8011727,28620,2.0
1702564934.3927844,29540,2.0
1702564936.466128,29955,2.0
1702564941.7013752,31005,2.0
1702564954.0964289,33500,2.0
1702564954.3977418,33560,2.0
1702564957.8053877,34275,2.0
1702564960.038153,34835,2.0
1702564963.8347504,35780,2.0
1702564969.9817748,37305,2.0
1702564970.04122,37320,2.0
1702564976.7307549,38995,2.0
1702564977.4234135,39170,2.0
1702564982.0378284,40335,3.0
1702564984.3250303,40905,3.0
1702564985.1423829,41110,3.0
1702564990.6410632,42495,3.0
1702564990.8406887,42545,3.0
1702564998.1808083,44395,3.0
1702564999.3107007,44680,3.0
1702565005.7495224,46305,3.0
1702565009.9169705,47345,3.0
1702565011.6190343,47775,3.0
1702565014.4980319,48495,3.0
1702565028.4891577,52000,3.0
1702565030.0850759,52400,3.0
1702565030.941927,52615,3.0
1702565038.5856586,54530,4.0
1702565039.805925,54835,4.0
1702565040.8829408,55105,4.0
1702565051.1480892,57665,4.0
1702565051.9063864,57835,4.0
1702565061.9077365,59850,5.0
1702565062.0336008,59875,5.0
1702565066.730182,60825,5.0
1702565069.8413005,61455,5.0
1702565084.4646575,64390,6.0
1702565088.362441,65175,6.0
1702565089.0345802,65310,6.0
1702565102.5369248,68105,6.0
1702565116.0268152,71475,6.0
1702565123.4727373,73345,7.0
1702565125.6687381,73900,7.0
1702565127.5428588,74370,7.0
1702565139.9083052,77370,7.0
1702565145.7209044,78825,7.0
1702565152.723535,80585,7.0
1702565168.5042763,84290,7.0
1702565173.6903331,85335,7.0
1702565174.4569829,85490,7.0
1702565179.8578165,86590,7.0
1702565180.4051185,86700,7.0
1702565185.4738152,87720,7.0
1702565185.8233373,87790,7.0
1702565208.0413847,92260,7.0
1702565232.1611905,97660,7.0
1702565234.319427,98205,7.0
1702565236.1252177,98660,7.0
1702565241.4268672,99980,7.0
1702565242.588059,100270,7.0
1702565242.7677658,100315,7.0
1702565246.3919225,101225,7.0
1702565247.961411,101620,7.0
1702565250.2686782,102205,7.0
1702565252.2366755,102700,7.0
1702565253.0163808,102895,7.0
1702565257.08193,103900,7.0
1702565257.156654,103915,7.0
1702565258.9828343,104280,7.0
1702565264.5636442,105405,7.0
1702565266.1527712,105725,7.0
1702565268.3420699,106165,7.0
1702565270.4975574,106600,7.0
1702565282.7253106,109245,7.0
1702565290.7055364,111230,7.0
1702565292.42754,111655,7.0
1702565292.9896646,111795,7.0
1702565308.5834088,115695,7.0
1702565308.7847219,115745,7.0
1702565311.5094483,116435,7.0
1702565313.007274,116810,7.0
1702565314.314016,117140,7.0
1702565316.5759323,117705,7.0
1702565319.173078,118355,7.0
1702565319.79655,118510,7.0
1702565328.6899197,120740,7.0
1702565331.427524,121415,7.0
1702565331.4679291,121425,7.0
1702565332.2412984,121615,7.0
1702565338.2416546,123110,7.0
1702565340.373809,123640,8.0
1702565344.4791503,124675,8.0
1702565350.853993,126270,8.0
1702565353.6577246,126960,8.0
1702565362.0969436,129065,8.0
1702565362.7895582,129240,8.0
1702565364.2768233,129610,8.0
1702565371.9011862,131520,8.0
1702565381.7247481,133990,8.0
1702565381.7445378,133995,8.0
1702565388.8573313,135775,8.0
1702565395.802981,137530,8.0
1702565397.761472,138020,8.0
1702565398.4675126,138195,8.0
1702565402.1872118,139130,8.0
1702565403.989733,139585,8.0
1702565414.5109773,142195,9.0
1702565416.6108062,142720,9.0
1702565425.2333298,144855,9.0
1702565425.7514756,144985,9.0
1702565427.0628154,145315,9.0
1702565429.8450384,146010,9.0
1702565431.091908,146320,9.0
1702565435.2853045,147360,9.0
1702565438.0815928,148060,9.0
1702565442.4350019,149150,9.0
1702565446.5453765,150030,9.0
1702565447.1926756,150160,9.0
1702565450.736387,150875,9.0
1702565454.5305626,151640,9.0
1702565458.0675094,152355,9.0
1702565461.579557,153065,9.0
1702565463.9210882,153535,9.0
1702565464.2676759,153605,9.0
1702565481.3743799,157035,9.0
1702565482.2966173,157220,9.0
1702565493.1861668,159405,9.0
1702565494.5903537,159685,9.0
1702565500.9614184,161040,9.0
1702565505.4730198,162180,9.0
1702565507.6332428,162715,9.0
